"","Trials.thisN","condition","blurr_confirm.rt","Press","Whenpress","Curiosity.response","Confidence.response","Surprise.response","ParticipantID","normal_confidence","normal_curiosity","normal_surprise"
"919",97,1,0.517689914162,1,10,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"930",98,1,0,0,0,5,2,2,8,-1.63263105021496,2.27868780015665,0.0223854176363708
"946",99,10,0.0598370067573,1,6,2,5,1,8,-0.668759949140529,0.166860433878748,-0.582020858545641
"953",100,8,0.308377126333,1,6,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"960",101,1,0.707285612276,1,2,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"963",102,10,0.646667294719,1,9,1,9,5,8,0.616401518958708,-0.537082021547221,1.83560424618241
"973",103,6,0.641882491402,1,4,2,5,2,8,-0.668759949140529,0.166860433878748,0.0223854176363708
"978",104,1,0.434868921374,1,4,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"983",105,9,0.528888019628,1,7,2,5,2,8,-0.668759949140529,0.166860433878748,0.0223854176363708
"991",106,1,0.324174008736,1,2,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"994",107,1,0.350793530514,1,14,2,5,1,8,-0.668759949140529,0.166860433878748,-0.582020858545641
"1009",108,1,0.0181967933831,1,14,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"1024",109,1,0.784347296576,1,13,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"1038",110,1,0.431706472898,1,14,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"1053",111,1,0.232615920035,1,12,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"1066",112,8,0.416274133937,1,2,2,5,1,8,-0.668759949140529,0.166860433878748,-0.582020858545641
"10691",113,7,0.357311621836,1,5,2,5,1,8,-0.668759949140529,0.166860433878748,-0.582020858545641
"1075",114,1,0.161483527962,1,7,2,5,2,8,-0.668759949140529,0.166860433878748,0.0223854176363708
"1083",115,1,0.747121540421,1,6,2,5,5,8,-0.668759949140529,0.166860433878748,1.83560424618241
"1101",117,1,0.730946119934,1,3,1,8,4,8,0.295111151933899,-0.537082021547221,1.2311979700004
"1105",118,1,0.689013043009,1,2,1,5,1,8,-0.668759949140529,-0.537082021547221,-0.582020858545641
"1108",119,1,0.81285814345,1,13,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"1122",120,1,0,0,0,6,0,1,8,-2.27521178426458,2.98263025558262,-0.582020858545641
"1138",121,1,0,0,0,6,0,6,8,-2.27521178426458,2.98263025558262,2.44001052236442
"1154",122,6,0.0893878946999,1,5,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"1160",123,1,0,0,0,2,4,1,8,-0.990050316165338,0.166860433878748,-0.582020858545641
"1176",124,1,0.236780180306,1,7,1,5,1,8,-0.668759949140529,-0.537082021547221,-0.582020858545641
"1184",125,4,0.467944753237,1,3,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"1188",126,1,0.51232006641,1,2,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"1199",128,1,0,0,0,1,0,6,8,-2.27521178426458,-0.537082021547221,2.44001052236442
"1222",130,1,0.84560800248,1,13,1,8,1,8,0.295111151933899,-0.537082021547221,-0.582020858545641
"1236",131,1,0.799893982029,1,15,1,10,1,8,0.937691885983518,-0.537082021547221,-0.582020858545641
"1252",132,1,0,0,0,5,1,2,8,-1.95392141723977,2.27868780015665,0.0223854176363708
"1268",133,1,0.833964457697,1,6,1,10,2,8,0.937691885983518,-0.537082021547221,0.0223854176363708
"12751",134,1,0.665844737262,1,3,1,9,1,8,0.616401518958708,-0.537082021547221,-0.582020858545641
"60",0,1,0.740038201962,1,10,4,6,6,9,0.0776746668945199,0.132958292414905,1.22225358450048
"71",1,1,0.493803102851,1,11,4,7,2,9,0.333432716425256,0.132958292414905,-0.49654051870332
"83",2,7,0.42955471087,1,3,1,9,1,9,0.844948815486728,-1.49880256904075,-0.92623904450427
"992",4,8,0.420730233753,1,6,2,9,6,9,0.844948815486728,-0.954882281888866,1.22225358450048
"119",6,1,0.572300432948,1,15,6,2,2,9,-0.945357531228424,1.22079886671868,-0.49654051870332
"135",7,1,0.672562508276,1,11,2,8,1,9,0.589190765955992,-0.954882281888866,-0.92623904450427
"1471",8,1,0.287053041757,1,10,1,9,1,9,0.844948815486728,-1.49880256904075,-0.92623904450427
"158",9,1,0,0,0,6,0,6,9,-1.4568736302899,1.22079886671868,1.22225358450048
"174",10,1,0.586877733222,1,15,6,5,4,9,-0.178083382636216,1.22079886671868,0.36285653289858
"190",11,1,0.36948628047,1,11,4,7,6,9,0.333432716425256,0.132958292414905,1.22225358450048
"202",12,1,0.441259012892,1,13,2,9,6,9,0.844948815486728,-0.954882281888866,1.22225358450048
"216",13,1,0.663252997241,1,12,3,7,1,9,0.333432716425256,-0.41096199473698,-0.92623904450427
"247",16,1,0.889957033032,1,13,3,8,1,9,0.589190765955992,-0.41096199473698,-0.92623904450427
"261",17,1,0.325045772734,1,11,2,6,6,9,0.0776746668945199,-0.954882281888866,1.22225358450048
"279",19,1,0.710098194621,1,5,1,10,1,9,1.10070686501746,-1.49880256904075,-0.92623904450427
"285",20,1,0.319445525325,1,7,2,10,1,9,1.10070686501746,-0.954882281888866,-0.92623904450427
"293",21,1,0.341308574418,1,8,1,10,1,9,1.10070686501746,-1.49880256904075,-0.92623904450427
"302",22,1,0,0,0,6,0,6,9,-1.4568736302899,1.22079886671868,1.22225358450048
"323",24,1,0,0,0,6,2,6,9,-0.945357531228424,1.22079886671868,1.22225358450048
"3441",26,6,0.153200063345,1,4,1,10,6,9,1.10070686501746,-1.49880256904075,1.22225358450048
"349",27,1,0.702747251242,1,5,1,9,1,9,0.844948815486728,-1.49880256904075,-0.92623904450427
"355",28,8,0.487670717601,1,5,1,10,1,9,1.10070686501746,-1.49880256904075,-0.92623904450427
"361",29,1,0.322679653698,1,10,1,10,3,9,1.10070686501746,-1.49880256904075,-0.06684199290237
"386",31,1,0.956881474231,1,12,5,6,2,9,0.0776746668945199,0.676878579566791,-0.49654051870332
"399",32,1,0.936966411486,1,2,1,10,1,9,1.10070686501746,-1.49880256904075,-0.92623904450427
"410",34,1,0.0536960881873,1,8,2,8,1,9,0.589190765955992,-0.954882281888866,-0.92623904450427
"419",35,1,0,0,0,6,0,6,9,-1.4568736302899,1.22079886671868,1.22225358450048
"435",36,1,0,0,0,6,1,6,9,-1.20111558075916,1.22079886671868,1.22225358450048
"451",37,10,0.40609285891,1,4,4,6,1,9,0.0776746668945199,0.132958292414905,-0.92623904450427
"456",38,1,0.756234102424,1,12,2,10,1,9,1.10070686501746,-0.954882281888866,-0.92623904450427
"475",40,1,0.572662928389,1,12,3,7,1,9,0.333432716425256,-0.41096199473698,-0.92623904450427
"500",42,1,0.910788574365,1,10,2,10,1,9,1.10070686501746,-0.954882281888866,-0.92623904450427
"511",43,1,0.0713522103979,1,15,6,5,2,9,-0.178083382636216,1.22079886671868,-0.49654051870332
"527",44,1,0.490810979449,1,9,2,10,1,9,1.10070686501746,-0.954882281888866,-0.92623904450427
"537",45,1,0.0398393414725,1,13,2,10,1,9,1.10070686501746,-0.954882281888866,-0.92623904450427
"558",47,1,0.198959822395,1,8,1,10,1,9,1.10070686501746,-1.49880256904075,-0.92623904450427
"567",48,1,0.0545453242157,1,4,1,10,1,9,1.10070686501746,-1.49880256904075,-0.92623904450427
"572",49,1,0.735248961319,1,11,4,5,2,9,-0.178083382636216,0.132958292414905,-0.49654051870332
"5841",50,9,0.361401471557,1,6,3,6,6,9,0.0776746668945199,-0.41096199473698,1.22225358450048
"591",51,1,0,0,0,6,0,6,9,-1.4568736302899,1.22079886671868,1.22225358450048
"607",52,1,0.229090976114,1,15,3,10,1,9,1.10070686501746,-0.41096199473698,-0.92623904450427
"641",55,1,0.367939701515,1,12,4,7,1,9,0.333432716425256,0.132958292414905,-0.92623904450427
"6591",57,1,0,0,0,6,0,6,9,-1.4568736302899,1.22079886671868,1.22225358450048
"675",58,1,0.127958160789,1,4,2,10,1,9,1.10070686501746,-0.954882281888866,-0.92623904450427
"680",59,1,0.0825905931342,1,10,4,6,2,9,0.0776746668945199,0.132958292414905,-0.49654051870332
"691",60,1,0,0,0,6,0,6,9,-1.4568736302899,1.22079886671868,1.22225358450048
"707",61,1,0.777952767727,1,13,5,5,6,9,-0.178083382636216,0.676878579566791,1.22225358450048
"7292",63,1,0.599399185987,1,8,4,6,1,9,0.0776746668945199,0.132958292414905,-0.92623904450427
"738",64,1,0.276062466641,1,9,3,7,5,9,0.333432716425256,-0.41096199473698,0.79255505869953
"748",65,1,0.845905644688,1,4,1,9,1,9,0.844948815486728,-1.49880256904075,-0.92623904450427
"7531",66,1,0.64795480208,1,8,3,7,2,9,0.333432716425256,-0.41096199473698,-0.49654051870332
"762",67,1,0,0,0,6,0,6,9,-1.4568736302899,1.22079886671868,1.22225358450048
"7831",69,1,0,0,0,6,0,6,9,-1.4568736302899,1.22079886671868,1.22225358450048
"7991",70,1,0,0,0,5,8,1,9,0.589190765955992,0.676878579566791,-0.92623904450427
"815",71,1,0.575544118634,1,10,3,6,2,9,0.0776746668945199,-0.41096199473698,-0.49654051870332
"836",73,1,0.100439568392,1,11,5,3,6,9,-0.689599481697688,0.676878579566791,1.22225358450048
